target,alpha_grid,fold,model,n_features,selected_alpha,n_train,thin_training_set,train_period,test_period,n_test,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high,mae_pct_of_scalar_baseline
war_rate,wide_logspace_-3_4_50,A,M2 constituent stats,22,100.0,351,False,2021->2022,2022->2023,350,1.537619539472763,1.4164132678982568,1.660188405924874,1.9275497525030147,1.7853933773878163,2.0698975134437756,97.33655878125192
war_rate,wide_logspace_-3_4_50,A,M3 scalar + age + PA,3,0.001,351,False,2021->2022,2022->2023,350,1.4636835347140673,1.3391812629639772,1.5937659736855965,1.882394757630126,1.7346376443262819,2.03285218319658,92.65615762316479
war_rate,wide_logspace_-3_4_50,A,M4 B2V + age + PA,7,10.0,351,False,2021->2022,2022->2023,350,1.4581578088097729,1.3392270866394804,1.5794740608855933,1.8586745441842265,1.719729487240171,2.0043909006624,92.30636033554912
war_rate,wide_logspace_-3_4_50,A,M5 constituents + age + PA,24,51.794746792312125,351,False,2021->2022,2022->2023,350,1.4843241303563974,1.3650092802839187,1.6066662239991003,1.8757896712592041,1.7392461019179404,2.016473098319122,93.96277769363334
war_rate,wide_logspace_-3_4_50,B,M0 scalar baseline,1,0.001,701,False,2021->2022; 2022->2023,2023->2024,355,1.6701522216563032,1.5332519334745482,1.8096518522570033,2.1605806144774795,1.9954377157949699,2.3314593045092877,100.0
war_rate,wide_logspace_-3_4_50,B,M1 B2V 5 tools,5,13.89495494373136,701,False,2021->2022; 2022->2023,2023->2024,355,1.6066541920553836,1.4800900505234167,1.7395336045237773,2.0659989025390915,1.9067137587098897,2.2262093473468427,96.19806932700135
war_rate,wide_logspace_-3_4_50,B,M2 constituent stats,22,0.2682695795279725,701,False,2021->2022; 2022->2023,2023->2024,355,1.535931256376064,1.4096000861136677,1.6706484972505307,1.9915565898725522,1.8338924903532436,2.146316802526851,91.96354897836012
war_rate,wide_logspace_-3_4_50,B,M3 scalar + age + PA,3,0.001,701,False,2021->2022; 2022->2023,2023->2024,355,1.6928211990468198,1.5577355725612434,1.838034043979407,2.168771360066951,2.0069091481491292,2.337730831294845,101.35730007699752
war_rate,wide_logspace_-3_4_50,B,M4 B2V + age + PA,7,10.0,701,False,2021->2022; 2022->2023,2023->2024,355,1.6303244584495207,1.5013014651297196,1.763562486595512,2.089599695255784,1.930394526161488,2.2547250453163095,97.61532136470261
war_rate,wide_logspace_-3_4_50,B,M5 constituents + age + PA,24,51.794746792312125,701,False,2021->2022; 2022->2023,2023->2024,355,1.5842768550175308,1.455728184519169,1.7146563066526166,2.038895508809331,1.8786330556602013,2.1973629639985655,94.85823115251081
war_rate,wide_logspace_-3_4_50,C,M0 scalar baseline,1,0.001,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.5924928922408956,1.4604765858521007,1.7310854920295826,2.059439364755952,1.8851634422230859,2.238968097772024,99.99999999999999
war_rate,wide_logspace_-3_4_50,C,M1 B2V 5 tools,5,51.794746792312125,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.5579558369554412,1.4267446622458446,1.6948280340082413,2.014247935980541,1.845286720745002,2.1890209801552816,97.83125843426181
war_rate,wide_logspace_-3_4_50,C,M2 constituent stats,22,0.001,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.5411251006331896,1.4206318698276545,1.664162868620127,1.9370662163324923,1.7909907142655404,2.091685460425881,96.77437859484425
war_rate,wide_logspace_-3_4_50,C,M3 scalar + age + PA,3,37.27593720314938,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.5741060305659555,1.44073501798768,1.7101924411005125,2.0279468107783716,1.860289197746904,2.1993899577851375,98.84540384672822
