target,window,touches_2020,fold,model,n_features,selected_alpha,n_train,thin_training_set,train_period,test_period,n_test,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high
war,2021-2025 (2020 excluded),False,2023->24,M2 constituent stats,22,0.001,707.0,False,2021->2022; 2022->2023,2023->2024,358,1.1757163634958456,1.072790490038692,1.292436210179997,1.584161199303359,1.4334736653109115,1.7587631625097577
war,2021-2025 (2020 excluded),False,2023->24,M3 scalar + age + PA,3,26.82695795279722,707.0,False,2021->2022; 2022->2023,2023->2024,358,1.2273589578281423,1.1175310904408118,1.3475439647680578,1.631644491075418,1.46133397357556,1.82617901462959
war,2021-2025 (2020 excluded),False,2023->24,M4 B2V + age + PA,7,51.794746792312125,707.0,False,2021->2022; 2022->2023,2023->2024,358,1.2348486220643458,1.1322648037192775,1.3517840236463345,1.6183222118973235,1.4645854961962521,1.7949180010417196
war,2021-2025 (2020 excluded),False,2023->24,M5 constituents + age + PA,24,51.794746792312125,707.0,False,2021->2022; 2022->2023,2023->2024,358,1.1950977675815369,1.0952151652262612,1.3078677240110594,1.5815704887568336,1.4298234765187174,1.7549027204911465
war,2021-2025 (2020 excluded),False,2023->24,M6 Marcel (no fit),1,,,,,,358,1.2374298822819714,1.1342151418005637,1.3529689923971258,1.6362899024509165,1.4863186932263186,1.7975804972141662
war,2021-2025 (2020 excluded),False,2023->24,M6c Marcel calibrated,1,7.196856730011514,707.0,False,2021->2022; 2022->2023,2023->2024,358,1.199268060793923,1.0928077377490757,1.3205175506885705,1.6155355857839468,1.455457734392317,1.788928320368325
war,2021-2025 (2020 excluded),False,2023->24,M7 Marcel + B2V,6,51.794746792312125,707.0,False,2021->2022; 2022->2023,2023->2024,358,1.1851706560169355,1.0846250867032279,1.3038105702512577,1.5871878165440891,1.435373096182937,1.7550161167573586
war,2021-2025 (2020 excluded),False,2024->25,M0 scalar baseline,1,0.001,1065.0,False,2021->2022; 2022->2023; 2023->2024,2024->2025,362,1.1382830113354157,1.0397714157818152,1.2441365597970062,1.484054730625982,1.3545748915967788,1.6142966741874716
war,2021-2025 (2020 excluded),False,2024->25,M1 B2V 5 tools,5,51.794746792312125,1065.0,False,2021->2022; 2022->2023; 2023->2024,2024->2025,362,1.186762369162818,1.0903410333802899,1.2906484332067558,1.5241696332336283,1.3893341655746567,1.6642329317132245
war,2021-2025 (2020 excluded),False,2024->25,M2 constituent stats,22,0.001,1065.0,False,2021->2022; 2022->2023; 2023->2024,2024->2025,362,1.1376573887409178,1.0433993062294438,1.2348873928590456,1.4577217343789612,1.3390214480367537,1.5817310090635088
war,2021-2025 (2020 excluded),False,2024->25,M3 scalar + age + PA,3,19.306977288832496,1065.0,False,2021->2022; 2022->2023; 2023->2024,2024->2025,362,1.1470125632059585,1.0556832927574245,1.245024647440622,1.47523053283424,1.35526684292173,1.5981644172936484
war,2021-2025 (2020 excluded),False,2024->25,M4 B2V + age + PA,7,51.794746792312125,1065.0,False,2021->2022; 2022->2023; 2023->2024,2024->2025,362,1.1641701934942124,1.0709093066575117,1.2622054762823367,1.498762405357702,1.368422213079458,1.6334823462452996
